,page_id,lang,len,quantile,title,url,templating,index_box,heading,posts,unique_authors,depth,archive,exchanges,exists?
903598,381635,de,88,0.9,Charlton Heston,https://de.wikipedia.org/wiki/Charlton Heston,,,,,,,,,
936101,454747,de,88,0.9,Europa (Mond),https://de.wikipedia.org/wiki/Europa (Mond),,,,,,,,,
559775,3426926,de,88,0.9,Demokratischer Sozialismus,https://de.wikipedia.org/wiki/Demokratischer Sozialismus,,,,,,,,,
1052389,749888,de,88,0.9,Pumpernickel,https://de.wikipedia.org/wiki/Pumpernickel,,,,,,,,,
878891,329134,de,88,0.9,Seiken Densetsu,https://de.wikipedia.org/wiki/Seiken Densetsu,,,,,,,,,
932565,447179,de,88,0.9,Hamming-Code,https://de.wikipedia.org/wiki/Hamming-Code,,,,,,,,,
907277,389672,de,88,0.9,Kartenspiel,https://de.wikipedia.org/wiki/Kartenspiel,,,,,,,,,
760345,90697,de,88,0.9,Antonio Gramsci,https://de.wikipedia.org/wiki/Antonio Gramsci,,,,,,,,,
891515,354950,de,88,0.9,Utz Claassen,https://de.wikipedia.org/wiki/Utz Claassen,,,,,,,,,
768726,105917,de,88,0.9,Schriftrollen vom Toten Meer/Archiv/1,https://de.wikipedia.org/wiki/Schriftrollen vom Toten Meer/Archiv/1,,,,,,,,,
1306584,1456353,de,88,0.9,Bücherverbrennung 1933 in Deutschland,https://de.wikipedia.org/wiki/Bücherverbrennung 1933 in Deutschland,,,,,,,,,
52057,1571964,de,88,0.9,Fußball-Weltmeisterschaft 2006/Finalrunde,https://de.wikipedia.org/wiki/Fußball-Weltmeisterschaft 2006/Finalrunde,,,,,,,,,
1076608,816293,de,88,0.9,Digital Multimedia Broadcasting,https://de.wikipedia.org/wiki/Digital Multimedia Broadcasting,,,,,,,,,
952781,493854,de,88,0.9,Gastarbeiter,https://de.wikipedia.org/wiki/Gastarbeiter,,,,,,,,,
1510196,4798961,de,88,0.9,Focke-Wulf Ta 152,https://de.wikipedia.org/wiki/Focke-Wulf Ta 152,,,,,,,,,
756412,83188,de,88,0.9,Matrix Revolutions,https://de.wikipedia.org/wiki/Matrix Revolutions,,,,,,,,,
966136,528649,de,88,0.9,Kneipe (Studentenverbindung),https://de.wikipedia.org/wiki/Kneipe (Studentenverbindung),,,,,,,,,
875394,321398,de,88,0.9,Franz Oppenheimer,https://de.wikipedia.org/wiki/Franz Oppenheimer,,,,,,,,,
768948,106357,de,88,0.9,Endlicher Automat,https://de.wikipedia.org/wiki/Endlicher Automat,,,,,,,,,
1311890,1473363,de,88,0.9,Südkurdische Sprache,https://de.wikipedia.org/wiki/Südkurdische Sprache,,,,,,,,,
428195,2926727,de,88,0.9,Stephan Rother,https://de.wikipedia.org/wiki/Stephan Rother,,,,,,,,,
754639,80007,de,88,0.9,Schalldruckpegel,https://de.wikipedia.org/wiki/Schalldruckpegel,,,,,,,,,
988094,586661,de,88,0.9,X Japan,https://de.wikipedia.org/wiki/X Japan,,,,,,,,,
