,page_id,lang,len,quantile,title,url,templating,index_box,heading,posts,unique_authors,depth,archive,exchanges
198887,357140,sv,22,0.9,Sven Hassel,https://sv.wikipedia.org/wiki/Sven Hassel,,,,,,,,
223275,412696,sv,22,0.9,Kajsa Bergqvist,https://sv.wikipedia.org/wiki/Kajsa Bergqvist,,,,,,,,
322871,655728,sv,22,0.9,Saab AB,https://sv.wikipedia.org/wiki/Saab AB,,,,,,,,
116292,185150,sv,22,0.9,Torshamn,https://sv.wikipedia.org/wiki/Torshamn,,,,,,,,
328023,669976,sv,22,0.9,Hajj,https://sv.wikipedia.org/wiki/Hajj,,,,,,,,
226232,420159,sv,22,0.9,Herräng,https://sv.wikipedia.org/wiki/Herräng,,,,,,,,
535004,1271848,sv,22,0.9,Tom Rydström,https://sv.wikipedia.org/wiki/Tom Rydström,,,,,,,,
416789,913889,sv,22,0.9,Antitobaksrörelsen i Nazityskland,https://sv.wikipedia.org/wiki/Antitobaksrörelsen i Nazityskland,,,,,,,,
234375,442603,sv,22,0.9,Nausicaä från Vindarnas dal,https://sv.wikipedia.org/wiki/Nausicaä från Vindarnas dal,,,,,,,,
18432,22976,sv,22,0.9,Kemisk serie,https://sv.wikipedia.org/wiki/Kemisk serie,,,,,,,,
221191,408133,sv,22,0.9,Ungdomsavtalet,https://sv.wikipedia.org/wiki/Ungdomsavtalet,,,,,,,,
400424,866598,sv,22,0.9,Kvarstadsbåtarna,https://sv.wikipedia.org/wiki/Kvarstadsbåtarna,,,,,,,,
590113,1527271,sv,22,0.9,Censur i Sverige,https://sv.wikipedia.org/wiki/Censur i Sverige,,,,,,,,
251750,484697,sv,22,0.9,Brittiska imperieorden,https://sv.wikipedia.org/wiki/Brittiska imperieorden,,,,,,,,
545492,1382153,sv,22,0.9,Petter Northug,https://sv.wikipedia.org/wiki/Petter Northug,,,,,,,,
250223,480599,sv,22,0.9,Noam Chomsky,https://sv.wikipedia.org/wiki/Noam Chomsky,,,,,,,,
354050,741862,sv,22,0.9,Johnson & Häggkvist,https://sv.wikipedia.org/wiki/Johnson & Häggkvist,,,,,,,,
42215,59438,sv,22,0.9,Klara kyrka,https://sv.wikipedia.org/wiki/Klara kyrka,,,,,,,,
146738,241397,sv,22,0.9,Aga (företag),https://sv.wikipedia.org/wiki/Aga (företag),,,,,,,,
250021,480105,sv,22,0.9,Ordaccent,https://sv.wikipedia.org/wiki/Ordaccent,,,,,,,,
335486,691201,sv,22,0.9,Maria Sveland,https://sv.wikipedia.org/wiki/Maria Sveland,,,,,,,,
127696,203746,sv,22,0.9,Sibelius-Akademin/arkiv,https://sv.wikipedia.org/wiki/Sibelius-Akademin/arkiv,,,,,,,,
395707,854383,sv,22,0.9,Fredrik Sträng,https://sv.wikipedia.org/wiki/Fredrik Sträng,,,,,,,,
72314,111629,sv,22,0.9,Kontrapunkt,https://sv.wikipedia.org/wiki/Kontrapunkt,,,,,,,,
