,page_id,lang,len,quantile,title,url,templating,index_box,heading,posts,unique_authors,depth,archive,exchanges,unsigned? ,notes
6897,13317,ko,66,0.9,판타지,https://ko.wikipedia.org/wiki/판타지,,,,,,,,,,
20651,50730,ko,66,0.9,국가사회주의 독일 노동자당,https://ko.wikipedia.org/wiki/국가사회주의 독일 노동자당,,,,,,,,,,
83214,213780,ko,66,0.9,나는 베를린 사람입니다,https://ko.wikipedia.org/wiki/나는 베를린 사람입니다,,,,,,,,,,
83675,215105,ko,66,0.9,나경원/보존1,https://ko.wikipedia.org/wiki/나경원/보존1,,,,,,,,,,
132272,343757,ko,66,0.9,미나모토노 요시쓰네,https://ko.wikipedia.org/wiki/미나모토노 요시쓰네,,,,,,,,,,
171461,463806,ko,66,0.9,대한민국 여성가족부,https://ko.wikipedia.org/wiki/대한민국 여성가족부,,,,,,,,,,
349459,1056978,ko,66,0.9,이민호 (1987년),https://ko.wikipedia.org/wiki/이민호 (1987년),,,,,,,,,,
85289,219926,ko,67,0.91,천주교정의구현전국사제단,https://ko.wikipedia.org/wiki/천주교정의구현전국사제단,,,,,,,,,,
86682,224145,ko,67,0.91,일본강치,https://ko.wikipedia.org/wiki/일본강치,,,,,,,,,,
298681,878437,ko,67,0.91,로이 킴,https://ko.wikipedia.org/wiki/로이 킴,,,,,,,,,,
333644,997016,ko,67,0.91,김원기 (1985년),https://ko.wikipedia.org/wiki/김원기 (1985년),,,,,,,,,,
360844,1098825,ko,67,0.91,S.E.S.,https://ko.wikipedia.org/wiki/S.E.S.,,,,,,,,,,
17006,42098,ko,68,0.91,박헌영/보존문서1,https://ko.wikipedia.org/wiki/박헌영/보존문서1,,,,,,,,,,
29651,76444,ko,68,0.91,명왕성,https://ko.wikipedia.org/wiki/명왕성,,,,,,,,,,
34881,91846,ko,68,0.91,성균관대학교,https://ko.wikipedia.org/wiki/성균관대학교,,,,,,,,,,
115808,300155,ko,68,0.91,엑스박스 360,https://ko.wikipedia.org/wiki/엑스박스 360,,,,,,,,,,
125082,324212,ko,68,0.91,이재록,https://ko.wikipedia.org/wiki/이재록,,,,,,,,,,
159870,425188,ko,68,0.91,와일드카드 (스포츠),https://ko.wikipedia.org/wiki/와일드카드 (스포츠),,,,,,,,,,
209957,599670,ko,68,0.91,오마이뉴스,https://ko.wikipedia.org/wiki/오마이뉴스,,,,,,,,,,
360456,1097498,ko,68,0.91,노란 리본 달기 캠페인 (세월호),https://ko.wikipedia.org/wiki/노란 리본 달기 캠페인 (세월호),,,,,,,,,,
379596,1184534,ko,68,0.91,지민,https://ko.wikipedia.org/wiki/지민,,,,,,,,,,
12288,29888,ko,69,0.91,대한민국의 민주당계 정당,https://ko.wikipedia.org/wiki/대한민국의 민주당계 정당,,,,,,,,,,
42996,111453,ko,69,0.91,알베르트 아인슈타인,https://ko.wikipedia.org/wiki/알베르트 아인슈타인,,,,,,,,,,
